title,company name,company location,job url,country,search_term
.NET Developer,Mashkraft,MashkraftLahore,https://pk.indeed.com/viewjob?jk=4b1def46aed09c83,Pakistan,DevOps developer
Software Developer (Contractual),Vision for Education Foundation,Vision for Education FoundationKarachi,https://pk.indeed.com/viewjob?jk=323b93e5144702f7,Pakistan,DevOps developer
PHP Developer (1-2 Years of Experience),SysTellex Inc.,SysTellex Inc.Karachi,https://pk.indeed.com/viewjob?jk=9425957c0ff656d5,Pakistan,DevOps developer
Senior Python Developer (Remote),Datalyticx,DatalyticxIslamabad,https://pk.indeed.com/viewjob?jk=c01409eaffb00b8e,Pakistan,DevOps developer
MEAN/MERN Stack Developer,Diligent Technologies,Diligent TechnologiesRawalpindi,https://pk.indeed.com/viewjob?jk=c84222fc6b1e4f03,Pakistan,DevOps developer
DevOps Engineer,EndemandIT & Data Solutions LLC,EndemandIT & Data Solutions LLCKarachi,https://pk.indeed.com/viewjob?jk=44593e6408a47bcd,Pakistan,DevOps developer
Blockchain Developer,Octaloop Technologies,Octaloop TechnologiesIslamabad,https://pk.indeed.com/viewjob?jk=61760aacd3421f98,Pakistan,DevOps developer
Sr Frontend Developer,Vertex Infotech Solutions Pvt Ltd,Vertex Infotech Solutions Pvt LtdLahore,https://pk.indeed.com/viewjob?jk=f09e50aecd8378f9,Pakistan,DevOps developer
Python/Django Developer,Cogent Labs,Cogent LabsLahore,https://pk.indeed.com/viewjob?jk=27b50e8dce4c405f,Pakistan,DevOps developer
MEAN Stack Developer,MicroAgility Services (Pvt) Ltd,MicroAgility Services (Pvt) LtdIslamabad,https://pk.indeed.com/viewjob?jk=e459259a96648055,Pakistan,DevOps developer
DotNet Developer (.Net Developer),EvolversTech,EvolversTechLahore,https://pk.indeed.com/viewjob?jk=e030d938059d72a2,Pakistan,DevOps developer
ASP.NET Expert Developer,Eyecix Technologies,Eyecix TechnologiesLahore,https://pk.indeed.com/viewjob?jk=eef93316c37677ee,Pakistan,DevOps developer
Senior MERN Stack Developer,Alfa Origin,Alfa OriginRawalpindi,https://pk.indeed.com/viewjob?jk=c9166e4c36e064bc,Pakistan,DevOps developer
